feature,gain,perm,score
nom_log_lag1,0.7954633360769665,0.8960102837139302,0.8457368098954483
real_log_lag1,0.043717684748920994,0.0657654816587073,0.05474158320381414
year_norm,0.07561210287811308,0.0,0.03780605143905654
Y477110378_lag1,0.03199431562545284,0.005462763282398563,0.0187285394539257
Y477110108_lag1,0.011552143343089431,0.017578922294180156,0.014565532818634794
cluster_id,0.013154551177982062,0.0,0.006577275588991031
Y477110341_lag2,0.0009052284492777187,0.0052346937577183675,0.003069961103498043
fo_Северо-Кавказский ФО,0.003109397131902433,0.0012271359320098916,0.002168266531956162
Y477100014_lag1,0.00020626430082186484,0.0035712580051678456,0.0018887611529948552
gdp_growth_rf_wb_lag1,0.002898301720178514,0.0,0.001449150860089257
Y477110301_lag2,0.002592059429412884,0.0,0.001296029714706442
Y477110378_yoy_lag1,0.0016828836445973707,0.00019199176484470067,0.0009374377047210357
key_rate_avg_lag1,0.0017390018125374989,0.0,0.0008695009062687494
Y477140022_lag1,8.804665893740959e-05,0.001447929821403183,0.0007679882401702963
Y477110374_yoy_lag1,0.0015142307292032111,1.1478351476685294e-05,0.0007628545403399482
industrial_production_rf_rosstat_lag1,0.00097628534010506,0.0,0.00048814267005253
oil_brent_price_avg_usd_lag1,0.0008698008680015893,0.0,0.00043490043400079467
usd_rub_avg_lag1,0.0007971046177957094,0.0,0.0003985523088978547
Y477110213_yoy_lag1,0.0001499564972178714,0.0006456630196530482,0.0003978097584354598
Y477110005_lag1,0.0007009198959955845,0.0,0.00035045994799779226
Y477110128_lag2,0.0006765886933299018,0.0,0.0003382943466649509
Y477110038_lag1,0.0006141731081875212,0.0,0.0003070865540937606
Y477110116_lag1,0.0006032322436577169,0.0,0.00030161612182885846
Y477110190_lag1,0.0005408369674660174,5.5233550753069376e-05,0.0002980352591095434
Y477110341_yoy_lag1,0.0005684846805407519,0.0,0.00028424234027037593
Y477110213_lag1,0.0005653794393980932,0.0,0.0002826897196990466
Y477110301_yoy_lag1,0.00017567141799328546,0.00029132188403937153,0.0002334966510163285
Y477140001_lag1,5.142636950490674e-05,0.000382019295680168,0.00021672283259253737
Y477110197_lag2,8.017877886481688e-05,0.0003064546664201368,0.00019331672264247685
Y477140004_lag1,4.149707272454817e-05,0.00034487363508077116,0.00019318535390265966
real_log_roll3_std,0.00019677523991439054,0.00018348959344638226,0.0001901324166803864
Y477110119_yoy_lag1,0.00037759482041007487,0.0,0.00018879741020503743
Y477110111_lag1,0.00037470828122599965,0.0,0.00018735414061299982
fo_Южный ФО,0.00020627220395227718,0.00015044302354425598,0.0001783576137482666
Y477110111_lag2,0.00028898345178333983,0.0,0.00014449172589166992
Y477110036_yoy_lag1,0.00027519203670270154,8.367853197768027e-06,0.00014177994495023479
fo_Сибирский ФО,0.00026453764027516076,0.0,0.00013226882013758038
Y477110364_lag1,0.0002640954583707194,0.0,0.0001320477291853597
Y477110071_yoy_lag1,0.00025958329824187035,0.0,0.00012979164912093518
Y477110037_yoy_lag1,0.0001259923877892037,0.00012309014934957388,0.00012454126856938877
Y477110197_lag1,0.000174169508228847,6.648346188293483e-05,0.00012032648505589092
Y477110035_lag1,0.00021265048859801176,1.7612888718246222e-05,0.000115131688658129
Y477110131_lag1,0.0001708586086631891,5.730184750000887e-05,0.00011408022808159898
Y477100008_lag1,0.00016061005636523783,5.312308983086243e-05,0.00010686657309805013
Y477110116_yoy_lag1,0.0002064143898982703,0.0,0.00010320719494913515
Y477110125_lag1,0.0001997385735296384,0.0,9.98692867648192e-05
real_growth1,0.0001976121130344495,0.0,9.880605651722475e-05
Y477100010_lag2,6.541135485436584e-05,0.00012509836921972814,9.525486203704699e-05
Y477110036_lag1,0.00018097620620561268,0.0,9.048810310280634e-05
fo_Приволжский ФО,0.00013924725070101795,4.136846183425912e-05,9.030785626763853e-05
Y477110121_lag1,0.0001708957090164238,0.0,8.54478545082119e-05
Y477110005_yoy_lag1,0.00010309946495089077,5.305109814836524e-05,7.8075281549628e-05
inflation_rf_wb_lag1,0.0001450934221292379,0.0,7.254671106461895e-05
fo_Центральный ФО,0.00014223342427150158,0.0,7.111671213575079e-05
Y477110111_yoy_lag1,4.944479774799841e-05,9.051428899376348e-05,6.997954337088094e-05
Y477110119_lag1,0.00013372280769263575,0.0,6.686140384631787e-05
Y477100023_lag1,9.724354093538194e-06,0.00011468538728675035,6.220487069014427e-05
Y477110131_lag2,0.000115868745033785,0.0,5.79343725168925e-05
Y477110197_yoy_lag1,2.2508225545670247e-05,9.329586599896954e-05,5.790204577231989e-05
Y477110364_yoy_lag1,0.0001136363332123538,0.0,5.68181666061769e-05
Y477110108_yoy_lag1,6.282186160889756e-05,3.326937111410127e-05,4.8045616361499415e-05
Y477110128_lag1,9.42855798871603e-05,0.0,4.714278994358015e-05
Y477110035_yoy_lag1,6.0525509910941325e-05,3.321249993692707e-05,4.68690049239342e-05
fo_Дальневосточный ФО,9.21648333409896e-05,0.0,4.60824166704948e-05
nom_growth3,8.584889697173314e-05,0.0,4.292444848586657e-05
nom_log_roll3_std,8.332511785898346e-05,0.0,4.166255892949173e-05
Y477110038_yoy_lag1,6.501862732529317e-05,1.7748217616070726e-05,4.138342247068195e-05
unemployment_rf_wb_lag1,7.841277348786257e-05,0.0,3.920638674393128e-05
fo_Северо-Западный ФО,4.355690535687077e-05,3.042876893004872e-05,3.6992837143459745e-05
Y477110190_yoy_lag1,2.6879701589943512e-05,3.097212759856762e-05,2.8925914594255566e-05
Y477110131_yoy_lag1,5.365794622314485e-05,0.0,2.6828973111572426e-05
Y477110128_yoy_lag1,4.287801096943517e-05,6.8117760244030725e-06,2.484489349691912e-05
Y477110121_yoy_lag1,4.8376467299292495e-05,0.0,2.4188233649646248e-05
fo_Прочее,3.800452940339163e-06,4.27608677900535e-05,2.328066036519633e-05
Y477100012_lag1,4.2043736843363564e-05,0.0,2.1021868421681782e-05
real_growth3,3.6555360761208435e-05,3.957227336463356e-06,2.0256294048835896e-05
Y477140025_yoy_lag1,3.3188665954169797e-06,3.5477674615860915e-05,1.9398270605638947e-05
Y477100008_yoy_lag1,6.475848826071422e-06,2.7231473684865696e-05,1.685366125546856e-05
Y477140029_yoy_lag1,6.594915425201874e-06,1.8206629247328378e-05,1.2400772336265126e-05
Y477100023_yoy_lag1,1.9799020370444743e-05,0.0,9.899510185222371e-06
Y477140001_lag2,5.3419651680888806e-06,1.3005710676060555e-05,9.173837922074718e-06
Y477110125_yoy_lag1,1.7309120321910523e-05,0.0,8.654560160955261e-06
Y477140025_lag2,1.1232080694096314e-05,0.0,5.616040347048157e-06
Y477140004_yoy_lag1,8.422216034057195e-06,0.0,4.2111080170285975e-06
fo_Уральский ФО,7.505457944618341e-06,0.0,3.7527289723091706e-06
Y477100010_yoy_lag1,3.619685712523015e-06,0.0,1.8098428562615075e-06
Y477140001_yoy_lag1,1.4946699165019267e-06,1.4876430136221237e-06,1.4911564650620252e-06
