feature,corr_with_target,has_lag_in_name,suspect_leak
nom_log_lag1,0.9961,True,False
nom_log_roll3_mean,0.993,True,False
nom_log_lag2,0.9909,True,False
nom_log_lag3,0.9857,True,False
Y477110374_lag2,0.9025,True,False
Y477110374_lag1,0.8973,True,False
Y477110378_lag2,0.8864,True,False
Y477110378_lag1,0.8862,True,False
real_log_lag3,0.853,True,False
real_log_lag2,0.8351,True,False
real_log_roll3_mean,0.8346,True,False
real_log_lag1,0.8199,True,False
year_norm,0.7829,False,False
unemployment_rf_wb_lag1,-0.6903,True,False
eur_rub_avg_lag1,0.6737,True,False
key_rate_avg_lag1,-0.6409,True,False
Y477110378_yoy_lag1,-0.6252,True,False
nom_log_vs_median_lag1,0.6242,True,False
usd_rub_avg_lag1,0.6097,True,False
Y477110108_lag2,0.6059,True,False
Y477110108_lag1,0.5994,True,False
Y477110111_lag2,-0.5628,True,False
Y477110374_yoy_lag1,-0.558,True,False
Y477110111_lag1,-0.5204,True,False
inflation_rf_wb_lag1,-0.5188,True,False
Y477100008_lag1,-0.4515,True,False
nom_growth3,-0.4405,True,False
Y477110128_lag1,-0.4403,True,False
Y477100008_lag2,-0.4397,True,False
Y477140022_lag2,0.4338,True,False
Y477140029_lag1,0.4316,True,False
Y477140029_lag2,0.4255,True,False
Y477100010_lag2,0.4246,True,False
Y477140022_lag1,0.4157,True,False
Y477110128_lag2,-0.4076,True,False
Y477100010_lag1,0.4009,True,False
gdp_growth_rf_wb_lag1,-0.3937,True,False
Y477110005_lag1,0.3775,True,False
Y477110005_lag2,0.3763,True,False
cluster_id,-0.3744,False,False
Y477110364_lag1,-0.3656,True,False
Y477110071_lag1,0.3604,True,False
oil_brent_price_avg_usd_lag1,0.3599,True,False
Y477110071_lag2,0.359,True,False
Y477110364_lag2,-0.3501,True,False
Y477110213_lag1,-0.3492,True,False
Y477110213_lag2,-0.3456,True,False
real_growth3,-0.3245,True,False
Y477110301_lag1,-0.3108,True,False
Y477110131_lag2,-0.3093,True,False
Y477110131_lag1,-0.3084,True,False
Y477110301_lag2,-0.2957,True,False
Y477110071_yoy_lag1,-0.2801,True,False
industrial_production_rf_rosstat_lag1,-0.2749,True,False
nom_log_roll3_std,-0.2696,True,False
nom_growth1,-0.2675,True,False
Y477110190_lag1,0.264,True,False
Y477110190_lag2,0.262,True,False
Y477110005_yoy_lag1,-0.2521,True,False
Y477110341_yoy_lag1,-0.2371,True,False
Y477110038_lag2,0.2362,True,False
Y477110038_lag1,0.2358,True,False
fo_Северо-Кавказский ФО,-0.232,False,False
Y477100014_lag1,-0.2318,True,False
Y477110036_lag2,0.229,True,False
Y477110036_lag1,0.2289,True,False
Y477100012_lag2,0.2259,True,False
Y477110111_yoy_lag1,0.2205,True,False
Y477110108_yoy_lag1,-0.2183,True,False
Y477100014_lag2,-0.2171,True,False
real_log_roll3_std,-0.2105,True,False
Y477110037_lag2,0.2054,True,False
Y477110037_lag1,0.2051,True,False
real_growth1,-0.2008,True,False
Y477110035_lag1,0.1899,True,False
Y477110035_lag2,0.1893,True,False
fo_Прочее,0.1851,False,False
Y477100012_lag1,0.1851,True,False
fo_Дальневосточный ФО,0.1731,False,False
Y477140004_lag1,0.151,True,False
fo_Северо-Западный ФО,0.1492,False,False
Y477140004_lag2,0.1439,True,False
Y477110341_lag2,0.1397,True,False
Y477110341_lag1,0.1342,True,False
Y477140001_lag2,0.1338,True,False
Y477140025_lag2,-0.1309,True,False
Y477140025_lag1,-0.127,True,False
Y477100023_lag2,0.1259,True,False
fo_Уральский ФО,0.1255,False,False
Y477110364_yoy_lag1,0.1245,True,False
Y477100023_lag1,0.1229,True,False
Y477140001_lag1,0.1164,True,False
Y477110037_yoy_lag1,-0.1028,True,False
Y477100014_yoy_lag1,-0.0998,True,False
Y477100008_yoy_lag1,-0.0891,True,False
Y477100023_yoy_lag1,-0.0868,True,False
Y477110036_yoy_lag1,-0.0825,True,False
Y477100012_yoy_lag1,-0.0806,True,False
fo_Южный ФО,-0.08,False,False
Y477100010_yoy_lag1,-0.078,True,False
fo_Приволжский ФО,-0.0699,False,False
Y477110119_lag2,-0.0584,True,False
fo_Центральный ФО,-0.058,False,False
Y477110119_lag1,-0.0576,True,False
Y477140001_yoy_lag1,-0.0575,True,False
fo_Сибирский ФО,-0.0546,False,False
Y477110121_lag1,-0.0506,True,False
Y477110197_yoy_lag1,-0.0501,True,False
Y477110301_yoy_lag1,0.0457,True,False
Y477110035_yoy_lag1,-0.0404,True,False
Y477110121_lag2,-0.0363,True,False
Y477140025_yoy_lag1,0.0342,True,False
Y477110128_yoy_lag1,-0.0319,True,False
Y477110213_yoy_lag1,0.0308,True,False
Y477110116_lag1,-0.0307,True,False
Y477110116_lag2,-0.0279,True,False
Y477110131_yoy_lag1,0.0231,True,False
Y477140004_yoy_lag1,-0.0213,True,False
Y477140022_yoy_lag1,0.0213,True,False
Y477110190_yoy_lag1,-0.0194,True,False
Y477110038_yoy_lag1,-0.0175,True,False
Y477110125_lag2,-0.013,True,False
Y477110125_lag1,-0.0121,True,False
Y477110197_lag2,0.0098,True,False
Y477140029_yoy_lag1,-0.0093,True,False
Y477110119_yoy_lag1,0.0089,True,False
Y477110125_yoy_lag1,0.0066,True,False
Y477110116_yoy_lag1,-0.0064,True,False
Y477110197_lag1,0.0057,True,False
Y477110121_yoy_lag1,-0.004,True,False
