object_name,cluster_km
Алтайский край,2
Амурская область,2
Архангельская область (без автономного округа),1
Астраханская область,2
Белгородская область,2
Брянская область,3
Владимирская область,2
Волгоградская область,2
Вологодская область,2
Воронежская область,2
Еврейская автономная область,3
Забайкальский край,2
Ивановская область,3
Иркутская область,2
Кабардино-Балкарская Республика,3
Калининградская область,2
Калужская область,2
Камчатский край,1
Карачаево-Черкесская Республика,3
Кемеровская область,2
Кировская область,3
Костромская область,3
Краснодарский край,2
Красноярский край,2
Курганская область,3
Курская область,2
Ленинградская область,0
Липецкая область,2
Магаданская область,1
Москва,0
Московская область,0
Мурманская область,1
Ненецкий автономный округ,1
Нижегородская область,2
Новгородская область,3
Новосибирская область,2
Омская область,2
Оренбургская область,2
Орловская область,3
Пензенская область,3
Пермский край,2
Приморский край,2
Псковская область,3
Республика Адыгея,3
Республика Алтай,3
Республика Башкортостан,2
Республика Бурятия,2
Республика Дагестан,3
Республика Ингушетия,3
Республика Калмыкия,3
Республика Карелия,2
Республика Коми,1
Республика Крым,2
Республика Марий Эл,3
Республика Мордовия,3
Республика Саха (Якутия),1
Республика Северная Осетия — Алания,3
Республика Татарстан,2
Республика Тыва,3
Республика Хакасия,3
Ростовская область,2
Рязанская область,2
Самарская область,2
Санкт-Петербург,0
Саратовская область,2
Сахалинская область,1
Свердловская область,2
Севастополь,2
Смоленская область,2
Ставропольский край,3
Тамбовская область,3
Тверская область,2
Томская область,2
Тульская область,2
Тюменская область (без автономных округов),1
Удмуртская Республика,2
Ульяновская область,2
Хабаровский край,2
Ханты-Мансийский автономный округ — Югра,1
Челябинская область,2
Чеченская Республика,3
Чувашская Республика,3
Чукотский автономный округ,1
Ямало-Ненецкий автономный округ,1
Ярославская область,2
