model,MAE,RMSE,MAPE,sMAPE,WAPE,R2,RMSLE,n
MeanGrowth,116073.4411,382845.7825,8.7345,8.4804,12.1901,0.933,0.1196,340
RandomForest,146154.0373,550962.3092,8.9499,9.4375,15.3492,0.8613,0.1333,340
GradientBoosting,152487.3449,522037.3451,9.8004,10.3726,16.0143,0.8754,0.1367,340
LightGBM,166160.9944,614262.9315,9.9029,10.688,17.4504,0.8275,0.1487,340
Naive,145713.1374,393760.0934,12.5334,13.6259,15.3029,0.9291,0.1665,340
XGBoost,190033.0909,688722.9253,11.2961,12.2269,19.9574,0.7832,0.1669,340
LinearRegression,164625.1151,414363.8853,17.1676,15.5915,17.2891,0.9215,0.1801,340
Ridge,166127.177,415062.9029,17.5781,15.9284,17.4468,0.9213,0.1831,340
ElasticNet,164963.4478,404009.2143,17.8718,16.1576,17.3246,0.9254,0.1851,340
Lasso,164426.7712,394750.2991,18.0374,16.2876,17.2682,0.9288,0.1861,340
CatBoost,248156.6359,825012.1753,16.7661,19.1106,26.0616,0.6889,0.2456,340
MLP,515443.0672,1029852.8276,51.7396,63.455,54.1322,0.5152,0.8097,340
