feature,mean_abs_shap
nom_log_lag1,0.9416251633038975
year_norm,0.10320015844837364
Y477110378_lag1,0.08947185295384706
real_log_lag1,0.08093698620563831
Y477110108_lag1,0.060039989280944915
usd_rub_avg_lag1,0.012205884301931128
cluster_id,0.009959058429885294
Y477100014_lag1,0.008968743136953365
fo_Северо-Кавказский ФО,0.008922598069288877
Y477110341_lag2,0.007305003988567012
Y477110301_lag2,0.00597741945093348
key_rate_avg_lag1,0.005526424075438512
Y477110374_yoy_lag1,0.0044878459841695105
inflation_rf_wb_lag1,0.004459219083199399
Y477140022_lag1,0.004251504828720423
industrial_production_rf_rosstat_lag1,0.0036525260990856218
Y477110378_yoy_lag1,0.003595757055058456
unemployment_rf_wb_lag1,0.0030812624750258992
oil_brent_price_avg_usd_lag1,0.0029626367352153
gdp_growth_rf_wb_lag1,0.0017484976986964842
